Whisky_korean,whiskey_english,ABV%,Country,Type,alcohol_image_url
1792,1792,46.85,usa,Bourbon,""
글렌고인 10년,Glengoyne 10-year-old,40,scotland,Single Malt,
글렌고인 12년,Glengoyne 12-year-old,43,scotland,Single Malt,
글렌고인 15년,Glengoyne 15-year-old,43,scotland,Single Malt,
글렌고인 18년,Glengoyne 18-year-old,43,scotland,Single Malt,
글렌고인 21년,Glengoyne 21-year-old,43,scotland,Single Malt,
글렌고인 25년,Glengoyne 25-year-old,48,scotland,Single Malt,
글렌고인 cs,Glengoyne cask strength,57.1,scotland,Single Malt,
글렌그란트 10년,Glengrant 10-year-old,40,scotland,Single Malt,
글렌그란트 12년,Glengrant 12-year-old,43,scotland,Single Malt,
글렌그란트 15년,Glengrant 15-year-old,43,scotland,Single Malt,
글렌그란트 18년,Glengrant 18-year-old,43,scotland,Single Malt,
글렌그란트 아보랄리스,Glengrant arboralis,40,scotland,Single Malt,
글렌드로낙 12년,Glendronach 12-year-old,46,scotland,Single Malt,
글렌드로낙 14년 마르살라,Glendronach marsala 14-year-old,46,scotland,Single Malt,
글렌드로낙 14년 버진오크,Glendronach virgin oak 14-year-old,46,scotland,Single Malt,
글렌드로낙 15년,Glendronach 15-year-old,46,scotland,Single Malt,
글렌드로낙 18년,Glendronach 18-year-old,46,scotland,Single Malt,
글렌드로낙 18년 마르살라,Glendronach marsala 18-year-old,46,scotland,Single Malt,
글렌드로낙 18년 토니포트,Glendronach virgin oak 18-year-old,46,scotland,Single Malt,
글렌드로낙 19년 마데이라,Glendronach madeira 19-year-old,46,scotland,Single Malt,
글렌드로낙 21년,Glendronach 21-year-old,48,scotland,Single Malt,
글렌드로낙 8년 옥타린,Glendronach octarine 8-year-old,46,scotland,Single Malt,
글렌로티스 10년,Glenrothes 10-year-old,40,scotland,Single Malt,
글렌로티스 12년,Glenrothes 12-year-old,40,scotland,Single Malt,
글렌로티스 18년,Glenrothes 18-year-old,40,scotland,Single Malt,
글렌로티스 25년,Glenrothes 25-year-old,43,scotland,Single Malt,
글렌로티스 50년,Glenrothes 50-year-old,47.5,scotland,Single Malt,
글렌로티스 메이커스컷,Glenrothes Maker's Cut,48.8,scotland,Single Malt,
글렌리벳 12년,Glenlivet 12-year-old,40,scotland,Single Malt,
글렌리벳 14년,Glenlivet 14-year-old,40,scotland,Single Malt,
글렌리벳 15년,Glenlivet 15-year-old,40,scotland,Single Malt,
글렌리벳 18년,Glenlivet 18-year-old,43,scotland,Single Malt,
글렌리벳 21년,Glenlivet 21-year-old,43,scotland,Single Malt,
글렌리벳 25년,Glenlivet 25-year-old,43,scotland,Single Malt,
글렌리벳 나두라,Glenlivet Nadurra Oloroso Finish,48,scotland,Single Malt,
글렌모렌지 10년,Glenmorangie Original 10 Years Old,40,scotland,Single Malt,
글렌모렌지 18년,Glenmorangie 18 Years Old,43,scotland,Single Malt,
글렌모렌지 19년,Glenmorangie 19 Years Old,43,scotland,Single Malt,
글렌모렌지 25년,Glenmorangie 25 Years Old,43,scotland,Single Malt,
글렌모렌지 넥타도르,Glenmorangie Nectar D'Or 12 Years Old,46,scotland,Single Malt,
글렌모렌지 라산타,Glenmorangie Lasanta 12 Years Old,43,scotland,Single Malt,
글렌모렌지 시그넷,Glenmorangie Signet,46,scotland,Single Malt,
글렌모렌지 퀸타루반,Glenmorangie Quinta Ruban 14 Years Old,43,scotland,Single Malt,
글렌알라키 10년 cs,Glenallachie 10 Years Old cask strength,56.8,scotland,Single Malt,
글렌알라키 10년 포트우드,Glenallachie 10 Years Old,48,scotland,Single Malt,
글렌알라키 12년,Glenallachie 12 Years Old,46,scotland,Single Malt,
글렌알라키 12년 소테른캐스크,Glenallachie 12 Year Old Sauternes Cask Finish,48,scotland,Single Malt,
글렌알라키 12년 페드로 히메네즈,Glenallachie 12 Year Old Pedro Ximénez Cask Finish,48,scotland,Single Malt,
글렌알라키 15년,Glenallachie 15 Years Old,46,scotland,Single Malt,
글렌알라키 18년,Glenallachie 18 Years Old,46,scotland,Single Malt,
글렌알라키 21년,Glenallachie 21 Years Old,51.4,scotland,Single Malt,
글렌알라키 25년,Glenallachie 25 Years Old,48,scotland,Single Malt,
글렌알라키 30년,Glenallachie 30 Years Old,48.9,scotland,Single Malt,
글렌알라키 8년,Glenallachie 8 Year Old,46,scotland,Single Malt,
글렌알라키 8년 라이쿼터,Glenallachie 8 Year Old Koval Rye Quarter Cask Wood Finish,48,scotland,Single Malt,
글렌파클라스 105,Glenfarclas 105,60,scotland,Single Malt,
글렌파클라스 10년,Glenfarclas 10 Years Old,40,scotland,Single Malt,
글렌파클라스 12년,Glenfarclas 12 Years Old,43,scotland,Single Malt,
글렌파클라스 15년,Glenfarclas 15 Years Old,46,scotland,Single Malt,
글렌파클라스 17년,Glenfarclas 17 Years Old,46,scotland,Single Malt,
글렌파클라스 21년,Glenfarclas 21 Years Old,43,scotland,Single Malt,
글렌파클라스 25년,Glenfarclas 25 Years Old,43,scotland,Single Malt,
글렌파클라스 30년,Glenfarclas 30 Years Old,43,scotland,Single Malt,
글렌피딕 12년,Glenfiddich 12 Years Old,40,scotland,Single Malt,
글렌피딕 14년,Glenfiddich 14 Years Old,43,scotland,Single Malt,
글렌피딕 15년,Glenfiddich 15 Years Old,40,scotland,Single Malt,
글렌피딕 18년,Glenfiddich 18 Years Old,40,scotland,Single Malt,
글렌피딕 21년,Glenfiddich 21 Years Old,43,scotland,Single Malt,
글렌피딕 30년,Glenfiddich 30 Years Old,43,scotland,Single Malt,
글렌피딕 40년,Glenfiddich 40 Years Old,45.8,scotland,Single Malt,
글렌피딕 ipa,Glenfiddich IPA Cask Finish,43,scotland,Single Malt,
글렌피딕 xx,Glenfiddich XX,47,scotland,Single Malt,
글렌피딕 그랑크루,Glenfiddich Grand Cru,40,scotland,Single Malt,
글렌피딕 쉐리,Glenfiddich Sherry Cask,40,scotland,Single Malt,
글렌피딕 파이어앤케인,Glenfiddich Fire & Cane,43,scotland,Single Malt,
